Component,Runtime,Planned,Availability,Uterlisation ,Loading ,Capacity,BlockID,Skips_To
Train_Load_Out_1,,0.05,0.95,0.75,0.85,20000,Train_Load_Out,
Train_Load_Out_2,,0.05,0.95,0.75,0.85,20000,Train_Load_Out,
Train_Load_Out_3,,0.05,0.95,0.75,0.85,20000,Train_Load_Out,
Train_Load_Out_4,,0.05,0.95,0.75,0.85,10000,Train_Load_Out,
Train_Load_Out_5,,0.05,0.95,0.75,0.85,20000,Train_Load_Out,
ProcHub_1,,0.05,0.95,0.75,0.85,20000,ProcHub,
ProcHub_2,,0.05,0.95,0.75,0.85,20000,ProcHub,
ProcHub_3,,0.05,0.95,0.75,0.85,20000,ProcHub,
ProcHub_4,,0.05,0.95,0.75,0.85,25000,ProcHub,
Rail_1,,0.05,0.95,0.75,0.85,20000,Rail_Set_1,
Rail_2,,0.05,0.95,0.75,0.85,20000,Rail_Set_1,
Rail_3,,0.05,0.95,0.75,0.85,20000,Rail_Set_1,
Rail_4,,0.05,0.95,0.75,0.85,20000,Rail_Set_1,
Jct_In_1,,0.05,0.95,0.75,0.85,40000,Jct_In_Set_1,
Jct_In_2,,0.05,0.95,0.75,0.85,40000,Jct_In_Set_1,
Jct_Out_1,,0.05,0.95,0.75,0.85,40000,Jct_Out_Set_1,
Jct_Out_2,,0.05,0.95,0.75,0.85,40000,Jct_Out_Set_1,
Rail_5,,0.05,0.95,0.75,0.85,40000,Rail_Set_2,
Rail_6,,0.05,0.95,0.75,0.85,40000,Rail_Set_2,
Jct_In_3,,0.05,0.95,0.75,0.85,60000,Jct_In_Set_2,
Jct_In_4,,0.05,0.95,0.75,0.85,40000,Jct_In_Set_2,
Jct_Out_3,,0.05,0.95,0.75,0.85,60000,Jct_Out_Set_2,
Jct_Out_4,,0.05,0.95,0.75,0.85,30000,Jct_Out_Set_2,
Rail_7,,0.05,0.95,0.75,0.85,40000,Rail_Set_3,
Rail_8,,0.05,0.95,0.75,0.85,40000,Rail_Set_3,
Jct_In_5,,0.05,0.95,0.75,0.85,60000,Jct_In_Set_3,
Jct_In_6,,0.05,0.95,0.75,0.85,40000,Jct_In_Set_3,
Jct_Out_5,,0.05,0.95,0.75,0.85,60000,Jct_Out_Set_3,
Jct_Out_6,,0.05,0.95,0.75,0.85,30000,Jct_Out_Set_3,
Dump_1,,0.05,0.95,0.75,0.85,10500,Dump,
Dump_2,,0.05,0.95,0.75,0.85,10500,Dump,
Dump_3,,0.05,0.95,0.75,0.85,10500,Dump,
Dump_4,,0.05,0.95,0.75,0.85,10500,Dump,
Dump_5,,0.05,0.95,0.75,0.85,10500,Dump,
Direct_Ship_1,,0.05,0.95,0.75,0.85,10500,Direct_Ship,Ship
Direct_Ship_2,,0.05,0.95,0.75,0.85,10500,Direct_Ship,
Direct_Ship_3,,0.05,0.95,0.75,0.85,10500,Direct_Ship,
Direct_Ship_4,,0.05,0.95,0.75,0.85,10500,Direct_Ship,
Direct_Ship_5,,0.05,0.95,0.75,0.85,10500,Direct_Ship,
Reclaim_1,,0.05,0.95,0.75,0.85,42000,Reclaimer,
Shipload,,0.05,0.95,0.75,0.85,84000,Ship,
